event_id,independent_interval_id,research_label,records,exploratory_rows,conventional_available_fraction,opdi_available_fraction,spectral_shape_fraction
AUG2024_COMPLEX_ICME_01,AUG2024_DEMO_INTERVAL,ICME/EJECTA,3600,3592,0.9691319444444444,1.0,1.0
AUG2024_COMPLEX_ICME_01,AUG2024_DEMO_INTERVAL,QUIET,259,259,0.9758687258687259,0.999034749034749,1.0
AUG2024_COMPLEX_ICME_01,AUG2024_DEMO_INTERVAL,SHEATH,1389,1389,0.9552735781137509,1.0,1.0
AUG2024_COMPLEX_ICME_01,AUG2024_DEMO_INTERVAL,SHOCK,1,1,1.0,1.0,1.0
AUG2024_POST_EVENT_CONTROL_01,AUG2024_DEMO_INTERVAL,POST-ICME,2880,2837,0.9801649305555555,0.9994791666666667,0.9996527777777777
AUG2024_QUIET_CONTROL_01,AUG2024_DEMO_INTERVAL,QUIET,1231,1231,0.9773558082859464,0.9997969130787977,1.0
MAR2025_CIR_HSS_01,MAR2025_CIR_HSS_INTERVAL,CIR/HSS,4320,4292,0.9384837962962963,0.9999421296296296,1.0
NOV2024_ORIENTATION_CONTROL_01,NOV2024_ORIENTATION_INTERVAL,ORIENTATION-CONTROL,461,0,0.0,0.0,0.0
OCT2024_COMPLEX_ICME_01,OCT2024_ICME_INTERVAL,COMPLEX_ICME,2520,2461,0.9270833333333334,0.9999007936507937,1.0
SEP2024_QUIET_CONTROL_01,SEP2024_QUIET_INTERVAL,QUIET,540,540,0.9432870370370371,0.999537037037037,1.0
