feature_group,column,description,units,formula_or_definition,uses_ground_truth_label
conventional_raw,proton_density,Aditya-L1 conventional plasma or MAG measurement,cm^-3,,False
conventional_raw,proton_bulk_speed,Aditya-L1 conventional plasma or MAG measurement,km/s,,False
conventional_raw,proton_thermal,Aditya-L1 conventional plasma or MAG measurement,km/s,,False
conventional_raw,alpha_proton_ratio,Aditya-L1 conventional plasma or MAG measurement,ratio,,False
conventional_raw,bmag_gse,Aditya-L1 conventional plasma or MAG measurement,nT,,False
conventional_raw,Bx_gse,Aditya-L1 conventional plasma or MAG measurement,nT,,False
conventional_raw,By_gse,Aditya-L1 conventional plasma or MAG measurement,nT,,False
conventional_raw,Bz_gse,Aditya-L1 conventional plasma or MAG measurement,nT,,False
conventional_derivative,d_proton_bulk_speed_dt,One-minute time derivative within each event window,km/s/min,,False
conventional_derivative,d_proton_density_dt,One-minute time derivative within each event window,cm^-3/min,,False
conventional_derivative,d_bmag_gse_dt,One-minute time derivative within each event window,nT/min,,False
conventional_rolling,proton_density_rolling_mean_5m,Past-only 5-minute rolling mean of proton_density,,,False
conventional_rolling,proton_density_rolling_median_5m,Past-only 5-minute rolling median of proton_density,,,False
conventional_rolling,proton_density_rolling_variance_5m,Past-only 5-minute rolling variance of proton_density,,,False
conventional_rolling,proton_density_rolling_mean_15m,Past-only 15-minute rolling mean of proton_density,,,False
conventional_rolling,proton_density_rolling_median_15m,Past-only 15-minute rolling median of proton_density,,,False
conventional_rolling,proton_density_rolling_variance_15m,Past-only 15-minute rolling variance of proton_density,,,False
conventional_rolling,proton_density_rolling_mean_60m,Past-only 60-minute rolling mean of proton_density,,,False
conventional_rolling,proton_density_rolling_median_60m,Past-only 60-minute rolling median of proton_density,,,False
conventional_rolling,proton_density_rolling_variance_60m,Past-only 60-minute rolling variance of proton_density,,,False
conventional_rolling,proton_bulk_speed_rolling_mean_5m,Past-only 5-minute rolling mean of proton_bulk_speed,,,False
conventional_rolling,proton_bulk_speed_rolling_median_5m,Past-only 5-minute rolling median of proton_bulk_speed,,,False
conventional_rolling,proton_bulk_speed_rolling_variance_5m,Past-only 5-minute rolling variance of proton_bulk_speed,,,False
conventional_rolling,proton_bulk_speed_rolling_mean_15m,Past-only 15-minute rolling mean of proton_bulk_speed,,,False
conventional_rolling,proton_bulk_speed_rolling_median_15m,Past-only 15-minute rolling median of proton_bulk_speed,,,False
conventional_rolling,proton_bulk_speed_rolling_variance_15m,Past-only 15-minute rolling variance of proton_bulk_speed,,,False
conventional_rolling,proton_bulk_speed_rolling_mean_60m,Past-only 60-minute rolling mean of proton_bulk_speed,,,False
conventional_rolling,proton_bulk_speed_rolling_median_60m,Past-only 60-minute rolling median of proton_bulk_speed,,,False
conventional_rolling,proton_bulk_speed_rolling_variance_60m,Past-only 60-minute rolling variance of proton_bulk_speed,,,False
conventional_rolling,proton_thermal_rolling_mean_5m,Past-only 5-minute rolling mean of proton_thermal,,,False
