mode,fold,records,positive_minutes,negative_minutes,precision,recall,f1,pr_auc,false_alarm_episodes,false_alarms_per_day,positive_events,detected_events,detection_rate,median_detection_delay_minutes,missed_events,threshold,train_negative_rows,train_positive_rows
Conventional,AUG2024_DEMO_INTERVAL,9309,4982,4327,0.9512285927029039,0.5128462464873544,0.6664058424621805,0.8903366192185075,22,7.321469840536168,1,1,1.0,145.0,0,1.4917226675352304,4832,2461
OPDI only,AUG2024_DEMO_INTERVAL,9309,4982,4327,0.731176104542626,0.2358490566037736,0.35665503111246016,0.6663060662498006,49,16.30691009937601,1,1,1.0,86.0,0,3.278037186051461,4832,2461
Combined,AUG2024_DEMO_INTERVAL,9309,4982,4327,0.7899239543726235,0.33360096346848656,0.46909398814563935,0.7460144295661766,51,16.97249826669748,1,1,1.0,77.0,0,2.0590800496648103,4832,2461
Conventional,MAR2025_CIR_HSS_INTERVAL,4292,0,4292,0.0,0.0,0.0,,56,18.788443616029824,0,0,,,0,2.0527071484826793,4867,7443
OPDI only,MAR2025_CIR_HSS_INTERVAL,4292,0,4292,0.0,0.0,0.0,,2,0.6710158434296365,0,0,,,0,2.4219407190488873,4867,7443
Combined,MAR2025_CIR_HSS_INTERVAL,4292,0,4292,0.0,0.0,0.0,,75,25.16309412861137,0,0,,,0,1.7101986532837814,4867,7443
Conventional,OCT2024_ICME_INTERVAL,2461,2461,0,1.0,0.46403900853311664,0.6339161809603109,,0,,1,1,1.0,,0,1.854620069327189,9159,4982
OPDI only,OCT2024_ICME_INTERVAL,2461,2461,0,1.0,0.034538805363673306,0.06677140612725845,,0,,1,1,1.0,,0,2.920972594017631,9159,4982
Combined,OCT2024_ICME_INTERVAL,2461,2461,0,1.0,0.39536773669240144,0.566686080372743,,0,,1,1,1.0,,0,1.78073715282879,9159,4982
Conventional,SEP2024_QUIET_INTERVAL,540,0,540,0.0,0.0,0.0,,0,0.0,0,0,,,0,1.8978660684018716,8619,7443
OPDI only,SEP2024_QUIET_INTERVAL,540,0,540,0.0,0.0,0.0,,0,0.0,0,0,,,0,2.8998830206432427,8619,7443
Combined,SEP2024_QUIET_INTERVAL,540,0,540,0.0,0.0,0.0,,0,0.0,0,0,,,0,1.763076415418706,8619,7443
