feature,feature_group,uses_ground_truth_label
proton_density,conventional_raw,False
proton_bulk_speed,conventional_raw,False
proton_thermal,conventional_raw,False
alpha_proton_ratio,conventional_raw,False
bmag_gse,conventional_raw,False
Bx_gse,conventional_raw,False
By_gse,conventional_raw,False
Bz_gse,conventional_raw,False
d_proton_bulk_speed_dt,conventional_derivative,False
d_proton_density_dt,conventional_derivative,False
d_bmag_gse_dt,conventional_derivative,False
proton_density_rolling_mean_5m,conventional_rolling,False
proton_density_rolling_median_5m,conventional_rolling,False
proton_density_rolling_variance_5m,conventional_rolling,False
proton_density_rolling_mean_15m,conventional_rolling,False
proton_density_rolling_median_15m,conventional_rolling,False
proton_density_rolling_variance_15m,conventional_rolling,False
proton_density_rolling_mean_60m,conventional_rolling,False
proton_density_rolling_median_60m,conventional_rolling,False
proton_density_rolling_variance_60m,conventional_rolling,False
proton_bulk_speed_rolling_mean_5m,conventional_rolling,False
proton_bulk_speed_rolling_median_5m,conventional_rolling,False
proton_bulk_speed_rolling_variance_5m,conventional_rolling,False
proton_bulk_speed_rolling_mean_15m,conventional_rolling,False
proton_bulk_speed_rolling_median_15m,conventional_rolling,False
proton_bulk_speed_rolling_variance_15m,conventional_rolling,False
proton_bulk_speed_rolling_mean_60m,conventional_rolling,False
proton_bulk_speed_rolling_median_60m,conventional_rolling,False
proton_bulk_speed_rolling_variance_60m,conventional_rolling,False
proton_thermal_rolling_mean_5m,conventional_rolling,False
proton_thermal_rolling_median_5m,conventional_rolling,False
proton_thermal_rolling_variance_5m,conventional_rolling,False
proton_thermal_rolling_mean_15m,conventional_rolling,False
proton_thermal_rolling_median_15m,conventional_rolling,False
proton_thermal_rolling_variance_15m,conventional_rolling,False
proton_thermal_rolling_mean_60m,conventional_rolling,False
proton_thermal_rolling_median_60m,conventional_rolling,False
proton_thermal_rolling_variance_60m,conventional_rolling,False
alpha_proton_ratio_rolling_mean_5m,conventional_rolling,False
alpha_proton_ratio_rolling_median_5m,conventional_rolling,False
alpha_proton_ratio_rolling_variance_5m,conventional_rolling,False
alpha_proton_ratio_rolling_mean_15m,conventional_rolling,False
alpha_proton_ratio_rolling_median_15m,conventional_rolling,False
alpha_proton_ratio_rolling_variance_15m,conventional_rolling,False
alpha_proton_ratio_rolling_mean_60m,conventional_rolling,False
alpha_proton_ratio_rolling_median_60m,conventional_rolling,False
alpha_proton_ratio_rolling_variance_60m,conventional_rolling,False
bmag_gse_rolling_mean_5m,conventional_rolling,False
bmag_gse_rolling_median_5m,conventional_rolling,False
bmag_gse_rolling_variance_5m,conventional_rolling,False
bmag_gse_rolling_mean_15m,conventional_rolling,False
bmag_gse_rolling_median_15m,conventional_rolling,False
bmag_gse_rolling_variance_15m,conventional_rolling,False
bmag_gse_rolling_mean_60m,conventional_rolling,False
bmag_gse_rolling_median_60m,conventional_rolling,False
bmag_gse_rolling_variance_60m,conventional_rolling,False
density_compression_ratio,compression,False
bmag_compression_ratio,compression,False
speed_compression_ratio,compression,False
dynamic_pressure_proxy,compression,False
dynamic_pressure_compression_ratio,compression,False
joint_compression_index,compression,False
js_opdi,cross_plane_opdi,False
hellinger_opdi,cross_plane_opdi,False
wasserstein_opdi,cross_plane_opdi,False
d_js_opdi_dt,cross_plane_derivative,False
d_hellinger_opdi_dt,cross_plane_derivative,False
d_wasserstein_opdi_dt,cross_plane_derivative,False
d_opdi_dt,cross_plane_derivative,False
opdi_rolling_mean,cross_plane_rolling,False
opdi_rolling_median,cross_plane_rolling,False
opdi_rolling_variance,cross_plane_rolling,False
opdi_anomaly,cross_plane_anomaly,False
opdi_persistence,cross_plane_anomaly,False
th1_th2_cosine_similarity,cross_plane_shape,False
th1_th2_spectral_angle_rad,cross_plane_shape,False
crossplane_centroid_delta_ev,cross_plane_shape,False
crossplane_width_delta_ev,cross_plane_shape,False
crossplane_log_peak_energy_ratio,cross_plane_shape,False
