feature,training_available_fraction,training_unique_values,selected,reason,fold
proton_density,1.0,7293,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_bulk_speed,1.0,6923,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_thermal,1.0,7288,True,SELECTED,AUG2024_DEMO_INTERVAL
alpha_proton_ratio,0.5210475798711093,3800,True,SELECTED,AUG2024_DEMO_INTERVAL
bmag_gse,1.0,7293,True,SELECTED,AUG2024_DEMO_INTERVAL
Bx_gse,1.0,7293,True,SELECTED,AUG2024_DEMO_INTERVAL
By_gse,1.0,7293,True,SELECTED,AUG2024_DEMO_INTERVAL
Bz_gse,1.0,7293,True,SELECTED,AUG2024_DEMO_INTERVAL
d_proton_bulk_speed_dt,0.9928698752228164,7057,True,SELECTED,AUG2024_DEMO_INTERVAL
d_proton_density_dt,0.9928698752228164,7241,True,SELECTED,AUG2024_DEMO_INTERVAL
d_bmag_gse_dt,0.9995886466474702,7290,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_density_rolling_mean_5m,0.9946524064171123,7254,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_density_rolling_median_5m,0.9946524064171123,4421,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_density_rolling_variance_5m,0.9946524064171123,7254,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_density_rolling_mean_15m,0.9973947621006445,7274,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_density_rolling_median_15m,0.9973947621006445,3675,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_density_rolling_variance_15m,0.9973947621006445,7274,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_density_rolling_mean_60m,0.9917729329494035,7233,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_density_rolling_median_60m,0.9917729329494035,3506,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_density_rolling_variance_60m,0.9917729329494035,7233,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_bulk_speed_rolling_mean_5m,0.9946524064171123,7160,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_bulk_speed_rolling_median_5m,0.9946524064171123,4261,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_bulk_speed_rolling_variance_5m,0.9946524064171123,7144,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_bulk_speed_rolling_mean_15m,0.9973947621006445,7218,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_bulk_speed_rolling_median_15m,0.9973947621006445,3661,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_bulk_speed_rolling_variance_15m,0.9973947621006445,7216,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_bulk_speed_rolling_mean_60m,0.9917729329494035,7191,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_bulk_speed_rolling_median_60m,0.9917729329494035,3780,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_bulk_speed_rolling_variance_60m,0.9917729329494035,7186,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_thermal_rolling_mean_5m,0.9946524064171123,7254,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_thermal_rolling_median_5m,0.9946524064171123,4395,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_thermal_rolling_variance_5m,0.9946524064171123,7254,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_thermal_rolling_mean_15m,0.9973947621006445,7274,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_thermal_rolling_median_15m,0.9973947621006445,3519,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_thermal_rolling_variance_15m,0.9973947621006445,7274,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_thermal_rolling_mean_60m,0.9917729329494035,7233,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_thermal_rolling_median_60m,0.9917729329494035,3707,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_thermal_rolling_variance_60m,0.9917729329494035,7233,True,SELECTED,AUG2024_DEMO_INTERVAL
alpha_proton_ratio_rolling_mean_5m,0.5185794597559303,3603,True,SELECTED,AUG2024_DEMO_INTERVAL
alpha_proton_ratio_rolling_median_5m,0.5185794597559303,2729,True,SELECTED,AUG2024_DEMO_INTERVAL
alpha_proton_ratio_rolling_variance_5m,0.5185794597559303,3603,True,SELECTED,AUG2024_DEMO_INTERVAL
