model,fold,records,positive_minutes,negative_minutes,tn,fp,fn,tp,precision,recall,f1,pr_auc,roc_auc,false_alarm_episodes,false_alarms_per_day,positive_events,detected_events,detection_rate,median_detection_delay_minutes,missed_events,selected_features,train_rows,train_positive_rows,train_negative_rows
Logistic Regression,AUG2024_DEMO_INTERVAL,9309,4982,4327,2989,1338,1611,3371,0.7158632406031005,0.676635889201124,0.69569703848932,0.8432027405412927,0.7332306634366734,44,14.642939681072336,1,1,1.0,8.0,0,79,7293,2461,4832
Random Forest,AUG2024_DEMO_INTERVAL,9309,4982,4327,3190,1137,3344,1638,0.5902702702702702,0.3287836210357286,0.4223282196725538,0.5199512074688644,0.4838042327929425,36,11.980587011786458,1,1,1.0,1128.0,0,79,7293,2461,4832
Gradient Boosting,AUG2024_DEMO_INTERVAL,9309,4982,4327,4021,306,4016,966,0.7594339622641509,0.19389803291850663,0.30892228973456987,0.6584996346901197,0.6492814158704175,26,8.652646175179108,1,1,1.0,1253.0,0,79,7293,2461,4832
Logistic Regression,MAR2025_CIR_HSS_INTERVAL,4292,0,4292,437,3855,0,0,0.0,0.0,0.0,,,12,4.026095060577819,0,0,,,0,79,12310,7443,4867
Random Forest,MAR2025_CIR_HSS_INTERVAL,4292,0,4292,767,3525,0,0,0.0,0.0,0.0,,,23,7.71668219944082,0,0,,,0,79,12310,7443,4867
Gradient Boosting,MAR2025_CIR_HSS_INTERVAL,4292,0,4292,952,3340,0,0,0.0,0.0,0.0,,,20,6.710158434296365,0,0,,,0,79,12310,7443,4867
Logistic Regression,OCT2024_ICME_INTERVAL,2461,2461,0,0,0,1312,1149,1.0,0.4668833807395368,0.6365650969529086,,,0,,1,1,1.0,,0,79,14141,4982,9159
Random Forest,OCT2024_ICME_INTERVAL,2461,2461,0,0,0,2019,442,1.0,0.17960178789110118,0.3045125732001378,,,0,,1,1,1.0,,0,79,14141,4982,9159
Gradient Boosting,OCT2024_ICME_INTERVAL,2461,2461,0,0,0,1915,546,1.0,0.22186103210077204,0.3631526438310609,,,0,,1,1,1.0,,0,79,14141,4982,9159
Logistic Regression,SEP2024_QUIET_INTERVAL,540,0,540,345,195,0,0,0.0,0.0,0.0,,,18,48.0,0,0,,,0,79,16062,7443,8619
Random Forest,SEP2024_QUIET_INTERVAL,540,0,540,251,289,0,0,0.0,0.0,0.0,,,6,16.0,0,0,,,0,79,16062,7443,8619
Gradient Boosting,SEP2024_QUIET_INTERVAL,540,0,540,339,201,0,0,0.0,0.0,0.0,,,6,16.0,0,0,,,0,79,16062,7443,8619
